Name,Description,Price,Image URL,Product URL
"Covent 3-sitssoffa
Hemp",Covent 3-sitssoffa från danska New Works är en djup soffa i modern design med mjukt rundade former. Soffan går i tidlös skandinavisk stil med starka band till en lång historia av hantverksskicklighet och materialkunnighet kombinerat med samtidens moderna formspråk. Covent är en soffa utöver det vanliga som sätter stark designprägel på ditt hem.,39 196 kr,https://www.nordicnest.se/assets/blobs/new-works-covent-3-sitssoffa-hemp/570663-01_1_ProductImageMain-ce4e2f4df0.png?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/new-works/covent-3-sits-soffa/?variantId=570663-01
"Star soffa med förvaring
Ljusgrön",Star soffa med förvaring från svenska Kids Concept är en stilfullt designad soffa som med sin smarta förvaringslösning gör den lika praktisk som den blir en fin inredningsdetalj. Den funktionella designen gör soffan perfekt för förvaring av barnenens leksaker samtidigt som dem är lätt tillgängliga inför nästa lekstund. Kombinera gärna Star soffa med förvaring med fler barnmöbler från Starserien för matchande inredning i barnrummet.,1 499 kr,https://www.nordicnest.se/assets/blobs/kids-concept-star-soffa-med-forvaring-ljusgron/568898-01_1_ProductImageMain-564c0f5333.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/kids-concept/star-soffa-med-forvaring/?variantId=568898-01
"Covent 3-sitssoffa
Lana",Covent 3-sitssoffa från danska New Works är en djup soffa i modern design med mjukt rundade former. Soffan går i tidlös skandinavisk stil med starka band till en lång historia av hantverksskicklighet och materialkunnighet kombinerat med samtidens moderna formspråk. Covent är en soffa utöver det vanliga som sätter stark designprägel på ditt hem.,39 196 kr,https://www.nordicnest.se/assets/blobs/new-works-covent-3-sitssoffa-lana/570662-01_1_ProductImageMain-54229cc33b.png?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/new-works/covent-3-sits-soffa/?variantId=570662-01
"Rico soffa 3-sits
Brushed warm grey",Rico soffa 3-sits från Ferm Living har en fast sittkomfort med en omfamnande soffrygg. De mjuka böljande formerna ger verkligen Rico-soffan ett unikt uttryck. Utforska gärna Rico-seriens alla färger och modeller för att sätta ihop en snygg och bekväm soffgrupp som passar dina behov och ditt hem.,25 192 kr,https://www.nordicnest.se/assets/blobs/ferm-living-rico-soffa-3-sits-brushed-warm-grey/574774-01_1_ProductImageMain-d97131e091.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/ferm-living/rico-soffa-3sits/?variantId=574774-01
"N701 hörnmodul rak
Tyg beige","N701 hörnmodul rak från Ethnicraft är klädd i ett mjukt tyg och inbjuder till avkoppling med sin omslutande form. Den är en del av den modulära N701-serien, vilket gör det enkelt att skapa en personlig och flexibel sittgrupp. Med sina rundade linjer ger den ett mjukt intryck och bidrar till en harmonisk atmosfär. Perfekt för att forma en välkomnande loungemiljö där komfort och stil går hand i hand.",13 047 kr,https://www.nordicnest.se/assets/blobs/ethnicraft-n701-hornmodul-rak-tyg-beige/20209-Sofa-N701-Corner-4be0fa98d1.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/ethnicraft-nv/n701-hornmodul-rak/?variantId=521118-01
"Outline soffa 3-sits tyg
Fiord 961 green-svarta ben","Soffan Outline från Muuto är designad av de norska formgivarna Anderssen och Voll. Inspirationen till soffan har designduon hämtat från modern arkitektur, vilket speglar sig hur delarna i soffan överlappar varandra. Soffan har en stilren och kantig design som känns väldigt inbjudande. Tack vare soffans generösa sittdjup och höga armstöd är den skön att krypa upp i. Kallskummet i soffan gör att den är mjuk att sitta i och att den bibehåller sin form. De höga och tunna benen ger den även ett luftigt intryck.",33 996 kr,https://www.nordicnest.se/assets/blobs/muuto-outline-soffa-3-sits-tyg-fiord-961-green-svarta-ben/outline-gr%C3%B6n-3-sits-b3d95ab57d.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/muuto/outline-soffa-3-sits-tyg/?variantId=564662-01
"Wind schäslong
Pastel blue (blå)","Sätt en lyxig och elegant prägel på ditt vardagsrum med Wind schäslong från det danska varumärket Broste Copenhagen. Schäslongen är ett lite elegantare alternativ till den klassiska soffan och är byggd med en stomme av plywood och solid furu. Möbeln är klädd med ett lyxigt, mjukt sammetstyg och har en stoppning av CME-skum vilket ger både stabilitet och hög komfort. Som kontrast till det fina tyget har schäslongen smala ben i mörkbetsad ek vilket ger karaktär. Wind finns i flera trendriktiga färger och blir med sin design en riktig klenod i ditt hem!",21 409 kr,https://www.nordicnest.se/assets/blobs/broste-copenhagen-wind-schaslong-pastel-blue-bla/32036-05-01-448e701826.jpg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/broste-copenhagen/wind-schaslong/?variantId=32036-05
"N701 soffa 3-sits
Tyg beige",N701 soffa 3-sits från Ethnicraft har en inbjudande design som utstrålar komfort och avkoppling. 3-sitssoffan N701 kan antingen användas som en fristående möbel eller byggas ut med valfria delar ut N701-serien för att skapa en modulsoffa som passar ditt hem och dina behov.,24 862 kr,https://www.nordicnest.se/assets/blobs/ethnicraft-n701-soffa-3-sits-tyg-beige/20231-N701-Sofa-3-seater---Beige-(2)-0320bd8dbf.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/ethnicraft-nv/n701-soffa/?variantId=521098-01
"N701 soffa 2-sits
Graphite (blågrå)","N701 soffa 2-sits från Ethnicraft har en inbjudande design som utstrålar komfort och avkoppling. Genom att kombinera de olika modulerna ur N701-serien så kan du skapa din egen unika soffa, anpassad för ditt hem och dina behov.",21 939 kr,https://www.nordicnest.se/assets/blobs/ethnicraft-n701-soffa-2-sits-graphite-blagra/573633-01_1_ProductImageMain-dc3d405fc8.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/ethnicraft-nv/n701-soffa-2sits/?variantId=573633-01
"N701 hörnmodul rak
Tyg dark grey","N701 hörnmodul rak från Ethnicraft är klädd i ett mjukt tyg och inbjuder till avkoppling med sin omslutande form. Den är en del av den modulära N701-serien, vilket gör det enkelt att skapa en personlig och flexibel sittgrupp. Med sina rundade linjer ger den ett mjukt intryck och bidrar till en harmonisk atmosfär. Perfekt för att forma en välkomnande loungemiljö där komfort och stil går hand i hand.",14 689 kr,https://www.nordicnest.se/assets/blobs/ethnicraft-n701-hornmodul-rak-tyg-dark-grey/N701-hh%C3%B6rmn-dark-grey-461da51c58.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/ethnicraft-nv/n701-hornmodul-rak/?variantId=532538-01
"Bredhult modulsoffa A1 vitoljade ekben
Bern 0341 Beige","Bredhult modulsoffa A1 vitoljade ekben från svenska 1898 är en soffa som finns i flera utföranden som är uppbyggd på en trästomme, en sits med nozagfjädring och ekben. Modulsoffans hörndel har den smarta konstruktionen som innebär att man kan dela på hörn och schäslong, vilket underlättar vid transport och inbärning.",38 990 kr,https://www.nordicnest.se/assets/blobs/1898-bredhult-modulsoffa-a1-vitoljade-ekben-bern-0341-beige/513248-01_1_ProductImageMain-a3ab58fc09.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/1898/bredhult-modulsoffa-a1-vitoljade-ekben/?variantId=513248-01
"N701 hörnmodul rak
Graphite (blågrå)","N701 hörnmodul rak från Ethnicraft är klädd i ett mjukt tyg och inbjuder till avkoppling med sin omslutande form. Den är en del av den modulära N701-serien, vilket gör det enkelt att skapa en personlig och flexibel sittgrupp. Med sina rundade linjer ger den ett mjukt intryck och bidrar till en harmonisk atmosfär. Perfekt för att forma en välkomnande loungemiljö där komfort och stil går hand i hand.",17 499 kr,https://www.nordicnest.se/assets/blobs/ethnicraft-n701-hornmodul-rak-graphite-blagra/573635-01_1_ProductImageMain-e323fe1d46.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/ethnicraft-nv/n701-hornmodul-rak/?variantId=573635-01
"Catena modulsoffa
tyg cotton linen natural, open end r 301",,20 309 kr,https://www.nordicnest.se/assets/blobs/ferm-living-catena-modulsoffa-tyg-cotton-linen-natural-open-end-r-301/Catena-soffa-open-right-28d28b7bda.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/ferm-living/catena-modulsoffa/?variantId=553766-01
"Catena modulsoffa
tyg cotton linen natural, connect corner 200",,18 749 kr,https://www.nordicnest.se/assets/blobs/ferm-living-catena-modulsoffa-tyg-cotton-linen-natural-connect-corner-200/Catena-soffa-connect-corner-200-9319714130.jpeg?preset=medium&dpr=2,https://www.nordicnest.se/varumarken/ferm-living/catena-modulsoffa/?variantId=553762-01
